标题： 手绘700帧！完美还原蔡徐坤打篮球！鸡你太美~  UP主： 五毛钱的宿命  播放量：807.3万
标题： 蔡徐坤打球很菜？喷子们都来看看吧  UP主： 观溟止鱼  播放量：521.9万
标题： 这可能是模仿蔡徐坤打篮球最真实的视频  UP主： Zokiel  播放量：463.2万
标题： 黑子们可以闭嘴了，你们以为蔡徐坤真的不会打球吗？  UP主： 神枪手尼贝尔  播放量：443.5万
标题： 【蔡徐坤】放荡不羁电音之舞  UP主： 枪弹轨迹  播放量：420.2万
标题： 【公开处刑】卢姥爷VS蔡徐坤篮球实力pk  UP主： 猫偶少年  播放量：309.3万
标题： 【蔡徐坤】篮球场上出现了新的垃圾话：蔡徐坤！蔡徐坤！蔡徐坤！！简直就是破坏发球的神语言！  UP主： 张飞吃豆芽啊  播放量：284.4万
标题： 可能是中国三观最正的渣男！！真的real~你好骚啊skrskr  UP主： 日叔丨  播放量：273.9万
标题： 【蔡徐坤】独家采访，回应b站鬼畜视频  UP主： 地瓜地瓜我是你哥  播放量：272.5万
标题： 【大事件】最强流量凡凡降临，ikun空前大集合拯救坤坤 暴走大事件第六季 12  UP主： 暴走漫画  播放量：269.6万
标题： 蔡徐坤打篮球火到国外！海外网友如何评价蔡徐坤打篮球？有翻译  UP主： 猜不出下个视频是什么  播放量：265.5万
标题： 当你加了一个菜徐鲲粉丝群…  UP主： 初君呐  播放量：252.1万
标题： 美国校队蔡徐坤真正的篮球实力  UP主： 昵称有没有不重要  播放量：248.8万
标题： 【AI换脸】五五开-打篮球视频  UP主： 用户名未填写  播放量：234.4万
标题： 因为一个视频，我被蔡徐坤粉丝骂到自闭！ 成了小姐姐最讨厌的人  UP主： 波桑吃遍世界  播放量：228.4万
标题： 蔡徐坤被篮球暴打  UP主： 黑玛瑙  播放量：226.4万
标题： 【大型粉丝拆台现场合集一】笑到头掉哈哈哈这届粉丝真的很会拆台，太难带了！  UP主： 姨太的吃瓜大会  播放量：218.4万
标题： 在班上放蔡徐坤打球会怎么样？  UP主： 喻子布  播放量：213.4万
标题： 某节目上有位男生模仿蔡徐坤打篮球，丁市长都忍不住了  UP主： 依旧梦中人  播放量：211.0万
标题： 【PS】当YouTube第一订阅看到蔡徐坤打球  UP主： LE九岁不翻车  播放量：208.0万
标题： 我叫黑虎阿鲲，你们准备受死吧！  UP主： 一只疯驴  播放量：204.0万
标题： 【六小龄童vs蔡徐坤】回应被b站鬼畜的反应，高下立判，什么叫老艺术家啊？  UP主： 多拉贡Ladon  播放量：199.8万
标题： 你们别黑蔡徐坤了，这才是他打篮球的真正实力  UP主： 欧皇指的就是本人我  播放量：199.7万
标题： 蔡徐坤美国校队之战单挑视频流出，喷子们集体沉默，哑口无言！  UP主： 我要去旅行了  播放量：197.8万
标题： 吴亦凡在美国台上被要求Freestyle，面露难色最后走人，尴尬溜了溜了，不敢打榜了。。。  UP主： 日叔丨  播放量：190.3万
标题： 虎扑直男模仿蔡徐坤打球  UP主： 一段子强  播放量：189.6万
标题： 选手模仿蔡徐坤打篮球，评委:NBA像你这么打，明天就要解散了。  UP主： 一起震颤  播放量：187.2万
标题： 库珀看蔡徐坤打篮球看哭了  UP主： 自来卷の  播放量：186.3万
标题： 蔡徐坤发律师函了，B站的回复我们都哭了  UP主： 花花0310  播放量：185.5万
标题： 用200多张画还原蔡徐坤打篮球  UP主： 马车Nocart  播放量：180.8万
标题： 我反对蔡徐坤做NBA大使，仅仅是因为我热爱篮球  UP主： 二哥日记本  播放量：180.3万
标题： 大司马和卢本伟 谁打篮球更像蔡徐坤？谁更美？  UP主： SpicyMix烫  播放量：177.9万
标题： 【全明星】比利太美（鸡你太美）  UP主： 一咸菊菊  播放量：168.4万
标题： 笑死我了！蔡徐坤“鸡你太美”倒放=“你没鸡鸡”？  UP主： 肉西南  播放量：163.8万
标题： 京东聚餐上，女员工向刘强东说自己怀孕了，刘强东的反应让员工吓尿了。。。  UP主： 日叔丨  播放量：163.5万
标题： 【火影】黑粉们蔡徐坤不仅会打球还是个火影，会结印  UP主： 八君怪士  播放量：159.4万
标题： 孙笑川亲自评价蔡徐坤球技什么水平  UP主： 银狐飞血  播放量：158.6万
标题： 【名场面】2018跨年夜的快乐喷泉们 忍笑挑战开始  UP主： 早川大寒  播放量：158.5万
标题： 花费巨款进入蔡徐坤粉丝群，竟遇到友军！在粉丝群里竟连篮球都不能提？这也太难受了吧  UP主： 北风落在青松上  播放量：158.4万
标题： 喷蔡徐坤的直接滚进来行吗？这才是他真正的实力！！！  UP主： DONOR1  播放量：155.3万
标题： 【NINEPERCENT】酷我爱豆社7分钟采访 范丞丞蹭蔡徐坤的车？尤长靖称健身是他的命  UP主： 海棠karry  播放量：23.9万
标题： 【NINE PERCENT】百分九少年听到偶像练习生第二季后的表现  UP主： 木子洋的腿毛小懂事儿  播放量：23.8万
标题： 粉丝口中的“大型圈粉现场”，看看能否把你圈住  UP主： 为什么昵称已存在呀丫  播放量：23.8万
标题： 关于模仿蔡徐坤跳舞致歉，请接受我的诚意道歉  UP主： 比比老师  播放量：23.8万
标题： 蔡徐坤打黑洞  UP主： soul大帅比  播放量：23.7万
标题： 【大型同性交友栏目oxlxs】论网瘾少年们是如何混进饭圈的  UP主： 安淇大人  播放量：23.7万
标题： 【大型同性交友栏目oxlxs】论花美男是如何转型成为搞笑艺人  UP主： 安淇大人  播放量：23.6万
标题： 蔡徐坤打球的确很强...太太太难模仿他了！  UP主： 比比老师  播放量：23.6万
标题： 【AI换脸】吴亦凡也要打篮球！  UP主： 空耳狂魔  播放量：23.5万
标题： 最近刷屏的“闺蜜舞”终究还是对星爷下手了！越看越魔性！  UP主： 音乐台长  播放量：23.5万
标题： 小伙子模仿蔡徐坤打球 ，竟然同学围殴！  UP主： 魔王DEMO  播放量：23.5万
标题： 14年最垃圾的篮球游戏，蔡徐坤看了都表示想打人  UP主： 肉利库  播放量：23.5万
标题： 我支持！蔡徐坤给B站发律师函！  UP主： 闲到发慌的老丝儿  播放量：23.5万
标题： 米米西卡看蔡徐坤篮球表演：打不过打不过，动作比我标准  UP主： 平安德云色  播放量：23.4万
标题： 心理学绘画测试 练习生性格心理大揭秘 蔡徐坤陈立农范丞丞Justin黄明昊贾富贵王子异小鬼王琳凯朱正廷尤长靖卜凡钱正昊林彦俊毕雯珺灵超朱星杰林超泽  UP主： wwnobody  播放量：23.4万
标题： 爆肝！纯手工橡皮泥，还原蔡徐坤打篮球！鸡你太美！心愿达成  UP主： 鸡饭一周  播放量：23.4万
标题： 蔡徐坤rap，吴亦凡对不起。  UP主： 粪山尿海  播放量：23.4万
标题： 【王一博】【蔡徐坤】【甜向】两个钢铁直男碰一块了  UP主： 高冷博的狂热粉  播放量：23.4万
标题： 【反击谣言】你们以为蔡徐坤的律师能傻到搞错公司?【科普视频】  UP主： 羽笙芊  播放量：23.3万
标题： [顶风作案]蔡徐坤向B站各位道歉！并献上一曲鸡你太美！  UP主： GMH十三  播放量：23.3万
标题： 偶像练习生CP大合集 有你pick的吗（新更）  UP主： Pamela馨儿  播放量：26.6万
标题： 来啦来啦！蔡徐坤单挑灭霸！没想到鸡你太美还蛮带感的！  UP主： Apex小鱼干  播放量：26.6万
标题： 【星动亚洲】第二季【蔡徐坤focus合集】  UP主： miracle徐  播放量：26.5万
标题： 比吴亦凡更水的明星有吗？答案是~蔡徐坤  UP主： 你看这个碗大又圆  播放量：26.4万
标题： 力元君哲别君对模仿蔡徐坤表示歉意  UP主： RuiChuo  播放量：26.4万
标题： 偶像练习生——百分九宿舍收发室  UP主： 糖糖糖糖糖小妞  播放量：26.3万
标题： 【测谎仪】【偶像练习生】盘点15个练习生的测谎仪  UP主： 安淇大人  播放量：26.3万
标题： 【莱花酒】蔡徐坤 真的是超级可爱帅气的男孩子啊  UP主： 瑞安R  播放量：26.2万
标题： 范丞丞无意戳到蔡徐坤面部，粉丝俏皮调侃：我要报一拳之仇  UP主： 梦梦梦丽苏游记  播放量：26.2万
标题： 【律师函警告】鸡你太美小坤坤  （原曲少年英雄小哪吒）  UP主： 树深时见鹿dear  播放量：26.1万
标题： 【偶练】在直拍里我终于GET到了他们的颜值！  UP主： 是良井  播放量：26.1万
标题： 小猪姐姐！！蔡徐坤仿妆  UP主： 小猪姐姐zzreal  播放量：26.0万
标题： 【NINE PERCENT】《创新者 (Rule Breaker)》【消音版】【中国音乐公告牌】181123期  UP主： Carol_0919丨档案室  播放量：26.0万
标题： 【超清1080P】181201-NINEPERCENT-EIEI+创新者LIVE-尖叫之夜-直播源码【蔡徐坤】  UP主： August_babygirl  播放量：26.0万
标题： 【蔡徐坤】《偶像练习生》未播花絮-坤坤向林超泽撒娇  UP主： DREAM-KUN  播放量：25.8万
标题： 【抽象有嘻哈】 第一期 带明星顺利晋级 蔡徐坤遭制作人刁难  UP主： 0GreatOcean0  播放量：25.8万
标题： 【泡菜TV-KimchiTV】外国小哥哥小姐姐看蔡徐坤《PPAP》直拍的反应 reaction  UP主： 泡菜TV-kimchiTV  播放量：25.7万
标题： 蔡徐坤优越的表情管理输给了林彦俊的冷笑话？捧场王丁泽仁给你一个尴尬而不失礼貌的微笑  UP主： wwnobody  播放量：25.7万
标题： TOP10：中文十级的歌曲，这些空耳都成精了  UP主： 求助大神啊  播放量：25.6万
标题： 《偶像练习生-papillon巴比龙》韩国人的反应如何?【朴鸣】  UP主： 朴鸣Piaoming  播放量：25.5万
标题： 【蔡徐坤遭团中央质疑】3分钟了解饭圈如何捧杀自家爱豆，包学包会！  UP主： 冒犯君  播放量：27.7万
标题： 蔡徐坤自称是美国篮球校队！快来看看坤坤实力到底怎样！  UP主： 新落林音  播放量：27.6万
标题： 当所谓的流量歌手清唱时，水平还真的是...  UP主： 杨禾火菊  播放量：27.6万
标题： 偶练团宠大调查 曾经也是团宠蔡徐坤 百男斩灵超  UP主： 不要跟我五四三  播放量：27.5万
标题： 阿历克斯被迫看蔡徐坤打篮球  UP主： 自来卷の  播放量：27.5万
标题： 【Nine Percent】不愧是大牌 MV请按这个质量来 梅赛德斯奔驰推广广告&amp;花絮 蔡徐坤陈立农范丞丞Justin黄明昊林彦俊朱正廷王子异小鬼王琳凯尤长靖  UP主： wwnobody  播放量：27.4万
标题： 局座被鬼畜是个什么心态？学着点吧。  UP主： 是齐桓公小白啊  播放量：27.2万
标题： 律师函警告？B站的这些类视频到底侵不侵权？怎样才能不侵权的做出视频？  UP主： 逗尔敦儿  播放量：27.1万
标题： 女版蔡徐坤打篮球最后尴尬了【结局你一定意想不到】  UP主： 橘子君嘛  播放量：27.1万
